Lot,Controll #,Pt,Pd,Rh,??,Lot Gross,Lot Net,Lot Per-Lb,$, $-$10 ,,,,,,,
REG. BEAD,,4.00,516,346,40,0.03,0.02,0.00,0.03,0.02,0.00,0.10,3.20,0.65,44.95,41, $ 41.00 
DOUBLE PLUG,,5.00,516,346,40,0.04,0.03,0.00,0.04,0.02,0.00,0.13,4.00,0.81,56.19,51, $ 51.00 
JUMBO BEADS,,5.50,702,508,83,0.06,0.04,0.01,0.05,0.04,0.01,0.20,4.40,1.27,88.27,82, $ 82.00 
OLD PRE ,,0.83,309,2705,276,0.00,0.03,0.00,0.00,0.03,0.00,0.08,0.66,0.38,31.90,31, $ 31.00 
NEW PRE ,,0.63,1618,6401,286,0.01,0.06,0.00,0.01,0.06,0.00,0.15,0.50,0.74,61.97,61, $ 61.00 
REAR FORD,,2.67,669,613,17,0.03,0.02,0.00,0.03,0.02,0.00,0.10,2.14,0.59,42.89,40, $ 40.00 
LOW GRADE STANDARD,,1.66,852,779,334,0.02,0.02,0.01,0.02,0.02,0.01,0.09,1.33,0.59,39.91,38, $ 38.00 
OLD STANDARD,,2.20,448,1697,193,0.01,0.05,0.01,0.01,0.05,0.01,0.14,1.76,0.76,60.90,58, $ 58.00 
CV PRE FRONT W/O Installation Under Shield,,1.04,508,7220,180,0.01,0.11,0.00,0.01,0.11,0.00,0.23,0.83,1.05,95.66,94, $ 94.00 
CV PRE REAR W/O Installation Under Shield,,1.99,1182,3870,31,0.03,0.11,0.00,0.03,0.11,0.00,0.28,1.59,1.44,120.42,117, $ 117.00 
CV PRE FRONT With Installation Under Shield,,0.94,2,2841,376,0.00,0.04,0.01,0.00,0.04,0.00,0.08,0.75,0.40,34.89,34, $ 34.00 
CV PRE REAR With Installation Under Shield,,1.77,587,1633,362,0.02,0.04,0.01,0.01,0.04,0.01,0.13,1.42,0.72,54.38,52, $ 52.00 
NEW STANDARD,,1.75,184,3376,214,0.00,0.09,0.01,0.00,0.08,0.00,0.19,1.40,0.86,76.66,74, $ 74.00 
BIG MOUTH ESCOURT,,2.44,143,5236,230,0.01,0.19,0.01,0.00,0.18,0.01,0.38,1.95,1.72,158.32,154, $ 154.00 
BIG MOUTH CONTOUR,,2.57,527,2292,294,0.02,0.09,0.01,0.02,0.08,0.01,0.22,2.06,1.17,94.44,91, $ 91.00 
HIGH GRADE STANDARD,,1.86,337,4827,212,0.01,0.13,0.01,0.01,0.13,0.01,0.28,1.49,1.29,116.28,113, $ 113.00 
CIGAR,,2.51,640,2081,313,0.02,0.08,0.01,0.02,0.07,0.01,0.21,2.01,1.15,90.41,87, $ 87.00 
4 DOT,,2.7,2,3619,415,0.00,0.14,0.02,0.00,0.14,0.01,0.30,2.16,1.42,125.63,122, $ 122.00 
AIRTUBE GM,,3.7,1422,489,101,0.08,0.03,0.01,0.07,0.03,0.00,0.21,2.96,1.44,94.39,90, $ 90.00 
NON AC GM,,4.2,1104,231,108,0.07,0.01,0.01,0.07,0.01,0.01,0.17,3.36,1.23,77.42,73, $ 73.00 
5 Dot,,4.2,1104,231,108,0.07,0.01,0.01,0.07,0.01,0.01,0.17,3.36,1.23,77.42,73, $ 73.00 
Lg. GM,,3.67,1443,664,204,0.08,0.04,0.01,0.07,0.03,0.01,0.24,2.94,1.61,106.40,102, $ 102.00 
Xbody,,4.1,493,3054,214,0.03,0.18,0.01,0.03,0.18,0.01,0.43,3.28,2.13,181.04,175, $ 175.00 
PRE-FOREIGN    ,,1,1455,1915,342,0.02,0.03,0.00,0.02,0.03,0.00,0.10,0.80,0.62,45.16,44, $ 44.00 
LOW FOREIGN,,2.4,19,2871,256,0.00,0.10,0.01,0.00,0.10,0.01,0.21,1.92,0.97,87.11,84, $ 84.00 
NISSAN,,2.1,1690,47,354,0.05,0.00,0.01,0.05,0.00,0.01,0.12,1.68,0.96,56.41,54, $ 54.00 
MIT.  (THIS IS THE PRICE IF WE DON'T HAVE OEM),,3.92,1147,15,269,0.07,0.00,0.02,0.06,0.00,0.01,0.16,3.14,1.23,72.01,67, $ 67.00 
FAT TOY.,,2.30,2,4083,704,0.00,0.14,0.02,0.00,0.13,0.02,0.31,1.84,1.50,127.00,123, $ 123.00 
SMALL FOREIGN    ,,2.30,2,4083,704,0.00,0.14,0.02,0.00,0.13,0.02,0.31,1.84,1.50,127.00,123, $ 123.00 
MED. FOREIGN ,,2.68,2900,40,440,0.11,0.00,0.02,0.11,0.00,0.02,0.25,2.14,1.97,117.10,113, $ 113.00 
LARGE FOREIGN,,2.68,3000,40,440,0.12,0.00,0.02,0.11,0.00,0.02,0.26,2.14,2.03,120.63,116, $ 116.00 
JUMBO FOREIGN,,3.69,2347,13,550,0.13,0.00,0.03,0.12,0.00,0.03,0.30,2.95,2.36,137.93,132, $ 132.00 
EXOTIC,,4.87,2239,5,513,0.16,0.00,0.04,0.15,0.00,0.03,0.37,3.90,2.95,172.58,165, $ 165.00 
VOLVO SPECIAL #1,,4.08,2296,9,568,0.14,0.00,0.03,0.13,0.00,0.03,0.33,3.26,2.58,150.43,144, $ 144.00 
VOLVO SPECIAL #2,,4.68,251,7877,297,0.02,0.54,0.02,0.02,0.52,0.02,1.11,3.74,4.95,456.39,447, $ 447.00 
FISH (THIS IS THE PRICE IF WE DON'T HAVE OEM),,3.71,1075,8,274,0.06,0.00,0.01,0.06,0.00,0.01,0.14,2.97,1.11,64.55,60, $ 60.00 
JEEP FISH TAIL,,3.71,1075,8,274,0.06,0.00,0.01,0.06,0.00,0.01,0.14,2.97,1.11,64.55,60, $ 60.00 
STRAIGHT EDGE JEEP,,4.90,648,674,270,0.05,0.05,0.02,0.04,0.05,0.02,0.22,3.92,1.39,95.12,90, $ 90.00 
STRAIGHT EDGE,,3.50,876,404,208,0.04,0.02,0.01,0.04,0.02,0.01,0.15,2.80,1.00,65.04,61, $ 61.00 
ROUND BODY CHRY W/O2,,3.50,402,2202,198,0.02,0.11,0.01,0.02,0.11,0.01,0.27,2.80,1.38,115.34,111, $ 111.00 
DIESEL,,3.50,136,597,65,0.01,0.03,0.00,0.01,0.03,0.00,0.08,2.80,0.40,32.97,30, $ 4.00 
AC SQUARE,,2.17,2481,18,178,0.08,0.00,0.01,0.08,0.00,0.00,0.16,1.74,1.26,75.74,73, $ 73.00 
AC SQUARE 3032,,2.04,1349,36,162,0.04,0.00,0.00,0.04,0.00,0.00,0.09,1.63,0.68,40.87,38, $ 38.00 
SMALL FLOW  (THIS IS THE PRICE IF WE DON'T HAVE OEM),,2.09,42,28,251,0.00,0.00,0.01,0.00,0.00,0.01,0.02,1.67,0.15,7.89,6, $ 6.00 
SMALL LOAF BREAD (THIS IS THE PRICE IF WE DON'T HAVE OEM),,2.76,1243,2470,320,0.05,0.10,0.01,0.05,0.10,0.01,0.31,2.21,1.76,133.91,130, $ 130.00 
LARGE LOAF BREAD (THIS IS THE PRICE IF WE DON'T HAVE OEM)   ,,3.29,366,2233,168,0.02,0.11,0.01,0.02,0.10,0.01,0.26,2.63,1.26,106.90,103, $ 103.00 
AFTER MARKET,,1.40,136,597,65,0.00,0.01,0.00,0.00,0.01,0.00,0.03,1.12,0.16,13.19,11.88, $ 12.00 
CENTER O2,,2.20,901,9740,361,0.03,0.31,0.01,0.03,0.30,0.01,0.68,1.76,3.16,282.22,277, $ 277.00 
SCORPION NO/O2,,2.49,2003,27,453,0.07,0.00,0.02,0.07,0.00,0.01,0.17,1.99,1.35,79.42,76, $ 76.00 
SCORPION W/O2,,2.47,1936,15,454,0.07,0.00,0.02,0.07,0.00,0.01,0.17,1.98,1.31,76.29,73, $ 73.00 
AC OVAL   (THIS IS THE PRICE IF WE DON'T HAVE OEM),,2.30,369,40,92,0.01,0.00,0.00,0.01,0.00,0.00,0.03,1.84,0.24,14.67,13, $ 13.00 
HONDA SLANT,,2.50,1152,6046,496,0.04,0.22,0.02,0.04,0.21,0.02,0.54,2.00,2.71,226.42,221, $ 221.00 
HONDA SLANT FAT (580F2),,2.56,933,9153,295,0.03,0.34,0.01,0.03,0.33,0.01,0.75,2.05,3.47,310.21,304, $ 304.00 
GEO     ,,1.50,1235,1006,298,0.03,0.02,0.01,0.03,0.02,0.01,0.11,1.20,0.69,46.93,45, $ 45.00 
OLD TORPEDO,,6.00,136,597,65,0.01,0.05,0.01,0.01,0.05,0.01,0.13,4.80,0.69,56.52,51, $ 51.00 
4 BOLT TORPEDO NO AIR,,5.71,19,2288,18,0.00,0.19,0.00,0.00,0.18,0.00,0.37,4.57,1.60,153.19,147, $ 147.00 
NEW TORPEDO,,7.00,402,2202,198,0.04,0.22,0.02,0.04,0.22,0.02,0.55,5.60,2.76,230.69,222, $ 222.00 
HOTDOG,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50, $ 50.00 
TWIN,,2.70,1999,5,353,0.08,0.00,0.01,0.08,0.00,0.01,0.18,2.16,1.40,82.17,78, $ 78.00 
SM. CAST,,1.40,1148,98,222,0.02,0.00,0.00,0.02,0.00,0.00,0.06,1.12,0.44,26.31,25, $ 25.00 
LG. CAST,,2.00,1822,12,721,0.05,0.00,0.02,0.05,0.00,0.02,0.14,1.60,1.13,64.87,62, $ 62.00 
Chevy Diesel 12598442,,3.76,2436,2555,1,0.13,0.14,0.00,0.13,0.14,0.00,0.53,3.01,3.12,231.27,225, $ 225.00 
Dodge Attached FRONT 7109AAP,,4.91,1810,393,10,0.13,0.03,0.00,0.13,0.03,0.00,0.31,3.93,2.16,139.72,133, $ 133.00 
Dodge Attached REAR 1749AAP,,13.20,329,5,5,0.06,0.00,0.00,0.06,0.00,0.00,0.13,10.56,0.96,58.66,47, $ 47.00 
Dodge Diesel 3673AAC,,9.29,2407,43,578,0.33,0.01,0.08,0.32,0.01,0.07,0.78,7.43,6.16,360.80,346, $ 346.00 
Dodge Diesel 2196AAP,,9.75,2532,41,748,0.36,0.01,0.11,0.35,0.01,0.09,0.90,7.80,7.12,413.61,398, $ 398.00 
Dodge Diesel 2198AAP,,11.26,1187,14,15,0.19,0.00,0.00,0.19,0.00,0.00,0.39,9.01,2.95,179.60,167, $ 167.00 
Dodge Diesel 7113AAP,,10.73,354,12,5,0.06,0.00,0.00,0.05,0.00,0.00,0.11,8.58,0.85,52.07,43, $ 43.00 
Dodge Diesel 2196ABP,,9.45,2037,30,534,0.28,0.00,0.07,0.27,0.00,0.06,0.68,7.56,5.40,314.79,301, $ 301.00 
Ford Filiter PBC7C34-5F,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180, $ 180.00 
Ford Filiter7C345F297PBS,,2.85,2076,1675,13,0.09,0.07,0.00,0.08,0.07,0.00,0.30,2.28,1.85,133.29,129, $ 129.00 
Ford Filiter7C345F297PB,,3.17,2173,2608,26,0.10,0.12,0.00,0.10,0.12,0.00,0.43,2.54,2.49,186.86,181, $ 181.00 
Ford Filiter7C34-PBL,,2.99,2563,2726,24,0.11,0.12,0.00,0.11,0.11,0.00,0.45,2.39,2.64,195.59,190, $ 190.00 
Ford Filiter 7C345K282-AA,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155, $ 155.00 